"name"	"description"	"page"
"680"	"hburtoni_homolog_associated_gene_name"	"Burton's mouthbrooder gene name"	"homologs"
"681"	"hburtoni_homolog_ensembl_peptide"	"Burton's mouthbrooder protein or transcript stable ID"	"homologs"
"682"	"hburtoni_homolog_chromosome"	"Burton's mouthbrooder chromosome/scaffold name"	"homologs"
"683"	"hburtoni_homolog_chrom_start"	"Burton's mouthbrooder chromosome/scaffold start (bp)"	"homologs"
"684"	"hburtoni_homolog_chrom_end"	"Burton's mouthbrooder chromosome/scaffold end (bp)"	"homologs"
"685"	"hburtoni_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"686"	"hburtoni_homolog_subtype"	"Last common ancestor with Burton's mouthbrooder"	"homologs"
"687"	"hburtoni_homolog_orthology_type"	"Burton's mouthbrooder homology type"	"homologs"
"688"	"hburtoni_homolog_perc_id"	"%id. target Burton's mouthbrooder gene identical to query gene"	"homologs"
"689"	"hburtoni_homolog_perc_id_r1"	"%id. query gene identical to target Burton's mouthbrooder gene"	"homologs"
"690"	"hburtoni_homolog_goc_score"	"Burton's mouthbrooder Gene-order conservation score"	"homologs"
"691"	"hburtoni_homolog_wga_coverage"	"Burton's mouthbrooder Whole-genome alignment coverage"	"homologs"
"692"	"hburtoni_homolog_orthology_confidence"	"Burton's mouthbrooder orthology confidence [0 low, 1 high]"	"homologs"
"693"	"ogarnettii_homolog_ensembl_gene"	"Bushbaby gene stable ID"	"homologs"
"694"	"ogarnettii_homolog_associated_gene_name"	"Bushbaby gene name"	"homologs"
"695"	"ogarnettii_homolog_ensembl_peptide"	"Bushbaby protein or transcript stable ID"	"homologs"
"696"	"ogarnettii_homolog_chromosome"	"Bushbaby chromosome/scaffold name"	"homologs"
"697"	"ogarnettii_homolog_chrom_start"	"Bushbaby chromosome/scaffold start (bp)"	"homologs"
"698"	"ogarnettii_homolog_chrom_end"	"Bushbaby chromosome/scaffold end (bp)"	"homologs"
"699"	"ogarnettii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"700"	"ogarnettii_homolog_subtype"	"Last common ancestor with Bushbaby"	"homologs"
"701"	"ogarnettii_homolog_orthology_type"	"Bushbaby homology type"	"homologs"
"702"	"ogarnettii_homolog_perc_id"	"%id. target Bushbaby gene identical to query gene"	"homologs"
"703"	"ogarnettii_homolog_perc_id_r1"	"%id. query gene identical to target Bushbaby gene"	"homologs"
"704"	"ogarnettii_homolog_goc_score"	"Bushbaby Gene-order conservation score"	"homologs"
"705"	"ogarnettii_homolog_wga_coverage"	"Bushbaby Whole-genome alignment coverage"	"homologs"
"706"	"ogarnettii_homolog_orthology_confidence"	"Bushbaby orthology confidence [0 low, 1 high]"	"homologs"
"707"	"cintestinalis_homolog_ensembl_gene"	"C.intestinalis gene stable ID"	"homologs"
"708"	"cintestinalis_homolog_associated_gene_name"	"C.intestinalis gene name"	"homologs"
"709"	"cintestinalis_homolog_ensembl_peptide"	"C.intestinalis protein or transcript stable ID"	"homologs"
"710"	"cintestinalis_homolog_chromosome"	"C.intestinalis chromosome/scaffold name"	"homologs"
"711"	"cintestinalis_homolog_chrom_start"	"C.intestinalis chromosome/scaffold start (bp)"	"homologs"
"712"	"cintestinalis_homolog_chrom_end"	"C.intestinalis chromosome/scaffold end (bp)"	"homologs"
"713"	"cintestinalis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"714"	"cintestinalis_homolog_subtype"	"Last common ancestor with C.intestinalis"	"homologs"
"715"	"cintestinalis_homolog_orthology_type"	"C.intestinalis homology type"	"homologs"
"716"	"cintestinalis_homolog_perc_id"	"%id. target C.intestinalis gene identical to query gene"	"homologs"
"717"	"cintestinalis_homolog_perc_id_r1"	"%id. query gene identical to target C.intestinalis gene"	"homologs"
"718"	"cintestinalis_homolog_wga_coverage"	"C.intestinalis Whole-genome alignment coverage"	"homologs"
"719"	"cintestinalis_homolog_orthology_confidence"	"C.intestinalis orthology confidence [0 low, 1 high]"	"homologs"
"720"	"csavignyi_homolog_ensembl_gene"	"C.savignyi gene stable ID"	"homologs"
"721"	"csavignyi_homolog_associated_gene_name"	"C.savignyi gene name"	"homologs"
"722"	"csavignyi_homolog_ensembl_peptide"	"C.savignyi protein or transcript stable ID"	"homologs"
"723"	"csavignyi_homolog_chromosome"	"C.savignyi chromosome/scaffold name"	"homologs"
"724"	"csavignyi_homolog_chrom_start"	"C.savignyi chromosome/scaffold start (bp)"	"homologs"
"725"	"csavignyi_homolog_chrom_end"	"C.savignyi chromosome/scaffold end (bp)"	"homologs"
"726"	"csavignyi_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"727"	"csavignyi_homolog_subtype"	"Last common ancestor with C.savignyi"	"homologs"
"728"	"csavignyi_homolog_orthology_type"	"C.savignyi homology type"	"homologs"
"729"	"csavignyi_homolog_perc_id"	"%id. target C.savignyi gene identical to query gene"	"homologs"
"730"	"csavignyi_homolog_perc_id_r1"	"%id. query gene identical to target C.savignyi gene"	"homologs"
"731"	"csavignyi_homolog_wga_coverage"	"C.savignyi Whole-genome alignment coverage"	"homologs"
"732"	"csavignyi_homolog_orthology_confidence"	"C.savignyi orthology confidence [0 low, 1 high]"	"homologs"
"733"	"celegans_homolog_ensembl_gene"	"Caenorhabditis elegans gene stable ID"	"homologs"
"734"	"celegans_homolog_associated_gene_name"	"Caenorhabditis elegans gene name"	"homologs"
"735"	"celegans_homolog_ensembl_peptide"	"Caenorhabditis elegans protein or transcript stable ID"	"homologs"
"736"	"celegans_homolog_chromosome"	"Caenorhabditis elegans chromosome/scaffold name"	"homologs"
"737"	"celegans_homolog_chrom_start"	"Caenorhabditis elegans chromosome/scaffold start (bp)"	"homologs"
"738"	"celegans_homolog_chrom_end"	"Caenorhabditis elegans chromosome/scaffold end (bp)"	"homologs"
"739"	"celegans_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"740"	"celegans_homolog_subtype"	"Last common ancestor with Caenorhabditis elegans"	"homologs"
"741"	"celegans_homolog_orthology_type"	"Caenorhabditis elegans homology type"	"homologs"
"742"	"celegans_homolog_perc_id"	"%id. target Caenorhabditis elegans gene identical to query gene"	"homologs"
"743"	"celegans_homolog_perc_id_r1"	"%id. query gene identical to target Caenorhabditis elegans gene"	"homologs"
"744"	"celegans_homolog_orthology_confidence"	"Caenorhabditis elegans orthology confidence [0 low, 1 high]"	"homologs"
"745"	"lcanadensis_homolog_ensembl_gene"	"Canada lynx gene stable ID"	"homologs"
"746"	"lcanadensis_homolog_associated_gene_name"	"Canada lynx gene name"	"homologs"
"747"	"lcanadensis_homolog_ensembl_peptide"	"Canada lynx protein or transcript stable ID"	"homologs"
"748"	"lcanadensis_homolog_chromosome"	"Canada lynx chromosome/scaffold name"	"homologs"
"749"	"lcanadensis_homolog_chrom_start"	"Canada lynx chromosome/scaffold start (bp)"	"homologs"
"750"	"lcanadensis_homolog_chrom_end"	"Canada lynx chromosome/scaffold end (bp)"	"homologs"
"751"	"lcanadensis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"752"	"lcanadensis_homolog_subtype"	"Last common ancestor with Canada lynx"	"homologs"
"753"	"lcanadensis_homolog_orthology_type"	"Canada lynx homology type"	"homologs"
"754"	"lcanadensis_homolog_perc_id"	"%id. target Canada lynx gene identical to query gene"	"homologs"
"755"	"lcanadensis_homolog_perc_id_r1"	"%id. query gene identical to target Canada lynx gene"	"homologs"
"756"	"lcanadensis_homolog_goc_score"	"Canada lynx Gene-order conservation score"	"homologs"
"757"	"lcanadensis_homolog_wga_coverage"	"Canada lynx Whole-genome alignment coverage"	"homologs"
"758"	"lcanadensis_homolog_orthology_confidence"	"Canada lynx orthology confidence [0 low, 1 high]"	"homologs"
"759"	"ccapucinus_homolog_ensembl_gene"	"Capuchin gene stable ID"	"homologs"
"760"	"ccapucinus_homolog_associated_gene_name"	"Capuchin gene name"	"homologs"
"761"	"ccapucinus_homolog_ensembl_peptide"	"Capuchin protein or transcript stable ID"	"homologs"
"762"	"ccapucinus_homolog_chromosome"	"Capuchin chromosome/scaffold name"	"homologs"
"763"	"ccapucinus_homolog_chrom_start"	"Capuchin chromosome/scaffold start (bp)"	"homologs"
"764"	"ccapucinus_homolog_chrom_end"	"Capuchin chromosome/scaffold end (bp)"	"homologs"
"765"	"ccapucinus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"766"	"ccapucinus_homolog_subtype"	"Last common ancestor with Capuchin"	"homologs"
"767"	"ccapucinus_homolog_orthology_type"	"Capuchin homology type"	"homologs"
"768"	"ccapucinus_homolog_perc_id"	"%id. target Capuchin gene identical to query gene"	"homologs"
"769"	"ccapucinus_homolog_perc_id_r1"	"%id. query gene identical to target Capuchin gene"	"homologs"
"770"	"ccapucinus_homolog_goc_score"	"Capuchin Gene-order conservation score"	"homologs"
"771"	"ccapucinus_homolog_wga_coverage"	"Capuchin Whole-genome alignment coverage"	"homologs"
"772"	"ccapucinus_homolog_orthology_confidence"	"Capuchin orthology confidence [0 low, 1 high]"	"homologs"
"773"	"fcatus_homolog_ensembl_gene"	"Cat gene stable ID"	"homologs"
"774"	"fcatus_homolog_associated_gene_name"	"Cat gene name"	"homologs"
"775"	"fcatus_homolog_ensembl_peptide"	"Cat protein or transcript stable ID"	"homologs"
"776"	"fcatus_homolog_chromosome"	"Cat chromosome/scaffold name"	"homologs"
"777"	"fcatus_homolog_chrom_start"	"Cat chromosome/scaffold start (bp)"	"homologs"
"778"	"fcatus_homolog_chrom_end"	"Cat chromosome/scaffold end (bp)"	"homologs"
"779"	"fcatus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"780"	"fcatus_homolog_subtype"	"Last common ancestor with Cat"	"homologs"
"781"	"fcatus_homolog_orthology_type"	"Cat homology type"	"homologs"
"782"	"fcatus_homolog_perc_id"	"%id. target Cat gene identical to query gene"	"homologs"
"783"	"fcatus_homolog_perc_id_r1"	"%id. query gene identical to target Cat gene"	"homologs"
"784"	"fcatus_homolog_goc_score"	"Cat Gene-order conservation score"	"homologs"
"785"	"fcatus_homolog_wga_coverage"	"Cat Whole-genome alignment coverage"	"homologs"
"786"	"fcatus_homolog_orthology_confidence"	"Cat orthology confidence [0 low, 1 high]"	"homologs"
"787"	"pvitticeps_homolog_ensembl_gene"	"Central bearded dragon gene stable ID"	"homologs"
"788"	"pvitticeps_homolog_associated_gene_name"	"Central bearded dragon gene name"	"homologs"
"789"	"pvitticeps_homolog_ensembl_peptide"	"Central bearded dragon protein or transcript stable ID"	"homologs"
"790"	"pvitticeps_homolog_chromosome"	"Central bearded dragon chromosome/scaffold name"	"homologs"
"791"	"pvitticeps_homolog_chrom_start"	"Central bearded dragon chromosome/scaffold start (bp)"	"homologs"
"792"	"pvitticeps_homolog_chrom_end"	"Central bearded dragon chromosome/scaffold end (bp)"	"homologs"
"793"	"pvitticeps_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"794"	"pvitticeps_homolog_subtype"	"Last common ancestor with Central bearded dragon"	"homologs"
"795"	"pvitticeps_homolog_orthology_type"	"Central bearded dragon homology type"	"homologs"
"796"	"pvitticeps_homolog_perc_id"	"%id. target Central bearded dragon gene identical to query gene"	"homologs"
"797"	"pvitticeps_homolog_perc_id_r1"	"%id. query gene identical to target Central bearded dragon gene"	"homologs"
"798"	"pvitticeps_homolog_goc_score"	"Central bearded dragon Gene-order conservation score"	"homologs"
"799"	"pvitticeps_homolog_wga_coverage"	"Central bearded dragon Whole-genome alignment coverage"	"homologs"
"800"	"pvitticeps_homolog_orthology_confidence"	"Central bearded dragon orthology confidence [0 low, 1 high]"	"homologs"
"801"	"cgobio_homolog_ensembl_gene"	"Channel bull blenny gene stable ID"	"homologs"
"802"	"cgobio_homolog_associated_gene_name"	"Channel bull blenny gene name"	"homologs"
"803"	"cgobio_homolog_ensembl_peptide"	"Channel bull blenny protein or transcript stable ID"	"homologs"
"804"	"cgobio_homolog_chromosome"	"Channel bull blenny chromosome/scaffold name"	"homologs"
"805"	"cgobio_homolog_chrom_start"	"Channel bull blenny chromosome/scaffold start (bp)"	"homologs"
"806"	"cgobio_homolog_chrom_end"	"Channel bull blenny chromosome/scaffold end (bp)"	"homologs"
"807"	"cgobio_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"808"	"cgobio_homolog_subtype"	"Last common ancestor with Channel bull blenny"	"homologs"
"809"	"cgobio_homolog_orthology_type"	"Channel bull blenny homology type"	"homologs"
"810"	"cgobio_homolog_perc_id"	"%id. target Channel bull blenny gene identical to query gene"	"homologs"
"811"	"cgobio_homolog_perc_id_r1"	"%id. query gene identical to target Channel bull blenny gene"	"homologs"
"812"	"cgobio_homolog_goc_score"	"Channel bull blenny Gene-order conservation score"	"homologs"
"813"	"cgobio_homolog_wga_coverage"	"Channel bull blenny Whole-genome alignment coverage"	"homologs"
"814"	"cgobio_homolog_orthology_confidence"	"Channel bull blenny orthology confidence [0 low, 1 high]"	"homologs"
"815"	"ipunctatus_homolog_ensembl_gene"	"Channel catfish gene stable ID"	"homologs"
"816"	"ipunctatus_homolog_associated_gene_name"	"Channel catfish gene name"	"homologs"
"817"	"ipunctatus_homolog_ensembl_peptide"	"Channel catfish protein or transcript stable ID"	"homologs"
"818"	"ipunctatus_homolog_chromosome"	"Channel catfish chromosome/scaffold name"	"homologs"
"819"	"ipunctatus_homolog_chrom_start"	"Channel catfish chromosome/scaffold start (bp)"	"homologs"
"820"	"ipunctatus_homolog_chrom_end"	"Channel catfish chromosome/scaffold end (bp)"	"homologs"
"821"	"ipunctatus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"822"	"ipunctatus_homolog_subtype"	"Last common ancestor with Channel catfish"	"homologs"
"823"	"ipunctatus_homolog_orthology_type"	"Channel catfish homology type"	"homologs"
"824"	"ipunctatus_homolog_perc_id"	"%id. target Channel catfish gene identical to query gene"	"homologs"
"825"	"ipunctatus_homolog_perc_id_r1"	"%id. query gene identical to target Channel catfish gene"	"homologs"
"826"	"ipunctatus_homolog_goc_score"	"Channel catfish Gene-order conservation score"	"homologs"
"827"	"ipunctatus_homolog_wga_coverage"	"Channel catfish Whole-genome alignment coverage"	"homologs"
"828"	"ipunctatus_homolog_orthology_confidence"	"Channel catfish orthology confidence [0 low, 1 high]"	"homologs"
"829"	"ggallus_homolog_ensembl_gene"	"Chicken gene stable ID"	"homologs"
"830"	"ggallus_homolog_associated_gene_name"	"Chicken gene name"	"homologs"
"831"	"ggallus_homolog_ensembl_peptide"	"Chicken protein or transcript stable ID"	"homologs"
"832"	"ggallus_homolog_chromosome"	"Chicken chromosome/scaffold name"	"homologs"
"833"	"ggallus_homolog_chrom_start"	"Chicken chromosome/scaffold start (bp)"	"homologs"
"834"	"ggallus_homolog_chrom_end"	"Chicken chromosome/scaffold end (bp)"	"homologs"
"835"	"ggallus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"836"	"ggallus_homolog_subtype"	"Last common ancestor with Chicken"	"homologs"
"837"	"ggallus_homolog_orthology_type"	"Chicken homology type"	"homologs"
"838"	"ggallus_homolog_perc_id"	"%id. target Chicken gene identical to query gene"	"homologs"
"839"	"ggallus_homolog_perc_id_r1"	"%id. query gene identical to target Chicken gene"	"homologs"
"840"	"ggallus_homolog_goc_score"	"Chicken Gene-order conservation score"	"homologs"
"841"	"ggallus_homolog_wga_coverage"	"Chicken Whole-genome alignment coverage"	"homologs"
"842"	"ggallus_homolog_orthology_confidence"	"Chicken orthology confidence [0 low, 1 high]"	"homologs"
"843"	"ptroglodytes_homolog_ensembl_gene"	"Chimpanzee gene stable ID"	"homologs"
"844"	"ptroglodytes_homolog_associated_gene_name"	"Chimpanzee gene name"	"homologs"
"845"	"ptroglodytes_homolog_ensembl_peptide"	"Chimpanzee protein or transcript stable ID"	"homologs"
"846"	"ptroglodytes_homolog_chromosome"	"Chimpanzee chromosome/scaffold name"	"homologs"
"847"	"ptroglodytes_homolog_chrom_start"	"Chimpanzee chromosome/scaffold start (bp)"	"homologs"
"848"	"ptroglodytes_homolog_chrom_end"	"Chimpanzee chromosome/scaffold end (bp)"	"homologs"
"849"	"ptroglodytes_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"850"	"ptroglodytes_homolog_subtype"	"Last common ancestor with Chimpanzee"	"homologs"
"851"	"ptroglodytes_homolog_orthology_type"	"Chimpanzee homology type"	"homologs"
"852"	"ptroglodytes_homolog_perc_id"	"%id. target Chimpanzee gene identical to query gene"	"homologs"
"853"	"ptroglodytes_homolog_perc_id_r1"	"%id. query gene identical to target Chimpanzee gene"	"homologs"
"854"	"ptroglodytes_homolog_goc_score"	"Chimpanzee Gene-order conservation score"	"homologs"
"855"	"ptroglodytes_homolog_wga_coverage"	"Chimpanzee Whole-genome alignment coverage"	"homologs"
"856"	"ptroglodytes_homolog_orthology_confidence"	"Chimpanzee orthology confidence [0 low, 1 high]"	"homologs"
"857"	"cgchok1gshd_homolog_ensembl_gene"	"Chinese hamster CHOK1GS gene stable ID"	"homologs"
"858"	"cgchok1gshd_homolog_associated_gene_name"	"Chinese hamster CHOK1GS gene name"	"homologs"
"859"	"cgchok1gshd_homolog_ensembl_peptide"	"Chinese hamster CHOK1GS protein or transcript stable ID"	"homologs"
"860"	"cgchok1gshd_homolog_chromosome"	"Chinese hamster CHOK1GS chromosome/scaffold name"	"homologs"
"861"	"cgchok1gshd_homolog_chrom_start"	"Chinese hamster CHOK1GS chromosome/scaffold start (bp)"	"homologs"
"862"	"cgchok1gshd_homolog_chrom_end"	"Chinese hamster CHOK1GS chromosome/scaffold end (bp)"	"homologs"
"863"	"cgchok1gshd_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"864"	"cgchok1gshd_homolog_subtype"	"Last common ancestor with Chinese hamster CHOK1GS"	"homologs"
"865"	"cgchok1gshd_homolog_orthology_type"	"Chinese hamster CHOK1GS homology type"	"homologs"
"866"	"cgchok1gshd_homolog_perc_id"	"%id. target Chinese hamster CHOK1GS gene identical to query gene"	"homologs"
"867"	"cgchok1gshd_homolog_perc_id_r1"	"%id. query gene identical to target Chinese hamster CHOK1GS gene"	"homologs"
"868"	"cgchok1gshd_homolog_goc_score"	"Chinese hamster CHOK1GS Gene-order conservation score"	"homologs"
"869"	"cgchok1gshd_homolog_wga_coverage"	"Chinese hamster CHOK1GS Whole-genome alignment coverage"	"homologs"
"870"	"cgchok1gshd_homolog_orthology_confidence"	"Chinese hamster CHOK1GS orthology confidence [0 low, 1 high]"	"homologs"
"871"	"cgcrigri_homolog_ensembl_gene"	"Chinese hamster CriGri gene stable ID"	"homologs"
"872"	"cgcrigri_homolog_associated_gene_name"	"Chinese hamster CriGri gene name"	"homologs"
"873"	"cgcrigri_homolog_ensembl_peptide"	"Chinese hamster CriGri protein or transcript stable ID"	"homologs"
"874"	"cgcrigri_homolog_chromosome"	"Chinese hamster CriGri chromosome/scaffold name"	"homologs"
"875"	"cgcrigri_homolog_chrom_start"	"Chinese hamster CriGri chromosome/scaffold start (bp)"	"homologs"
"876"	"cgcrigri_homolog_chrom_end"	"Chinese hamster CriGri chromosome/scaffold end (bp)"	"homologs"
"877"	"cgcrigri_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"878"	"cgcrigri_homolog_subtype"	"Last common ancestor with Chinese hamster CriGri"	"homologs"
"879"	"cgcrigri_homolog_orthology_type"	"Chinese hamster CriGri homology type"	"homologs"
"880"	"cgcrigri_homolog_perc_id"	"%id. target Chinese hamster CriGri gene identical to query gene"	"homologs"
"881"	"cgcrigri_homolog_perc_id_r1"	"%id. query gene identical to target Chinese hamster CriGri gene"	"homologs"
"882"	"cgcrigri_homolog_goc_score"	"Chinese hamster CriGri Gene-order conservation score"	"homologs"
"883"	"cgcrigri_homolog_wga_coverage"	"Chinese hamster CriGri Whole-genome alignment coverage"	"homologs"
"884"	"cgcrigri_homolog_orthology_confidence"	"Chinese hamster CriGri orthology confidence [0 low, 1 high]"	"homologs"
"885"	"cgpicr_homolog_ensembl_gene"	"Chinese hamster PICR gene stable ID"	"homologs"
"886"	"cgpicr_homolog_associated_gene_name"	"Chinese hamster PICR gene name"	"homologs"
"887"	"cgpicr_homolog_ensembl_peptide"	"Chinese hamster PICR protein or transcript stable ID"	"homologs"
"888"	"cgpicr_homolog_chromosome"	"Chinese hamster PICR chromosome/scaffold name"	"homologs"
"889"	"cgpicr_homolog_chrom_start"	"Chinese hamster PICR chromosome/scaffold start (bp)"	"homologs"
"890"	"cgpicr_homolog_chrom_end"	"Chinese hamster PICR chromosome/scaffold end (bp)"	"homologs"
"891"	"cgpicr_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"892"	"cgpicr_homolog_subtype"	"Last common ancestor with Chinese hamster PICR"	"homologs"
"893"	"cgpicr_homolog_orthology_type"	"Chinese hamster PICR homology type"	"homologs"
"894"	"cgpicr_homolog_perc_id"	"%id. target Chinese hamster PICR gene identical to query gene"	"homologs"
"895"	"cgpicr_homolog_perc_id_r1"	"%id. query gene identical to target Chinese hamster PICR gene"	"homologs"
"896"	"cgpicr_homolog_goc_score"	"Chinese hamster PICR Gene-order conservation score"	"homologs"
"897"	"cgpicr_homolog_wga_coverage"	"Chinese hamster PICR Whole-genome alignment coverage"	"homologs"
"898"	"cgpicr_homolog_orthology_confidence"	"Chinese hamster PICR orthology confidence [0 low, 1 high]"	"homologs"
"899"	"psinensis_homolog_ensembl_gene"	"Chinese softshell turtle gene stable ID"	"homologs"
"900"	"psinensis_homolog_associated_gene_name"	"Chinese softshell turtle gene name"	"homologs"
"901"	"psinensis_homolog_ensembl_peptide"	"Chinese softshell turtle protein or transcript stable ID"	"homologs"
"902"	"psinensis_homolog_chromosome"	"Chinese softshell turtle chromosome/scaffold name"	"homologs"
"903"	"psinensis_homolog_chrom_start"	"Chinese softshell turtle chromosome/scaffold start (bp)"	"homologs"
"904"	"psinensis_homolog_chrom_end"	"Chinese softshell turtle chromosome/scaffold end (bp)"	"homologs"
"905"	"psinensis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"906"	"psinensis_homolog_subtype"	"Last common ancestor with Chinese softshell turtle"	"homologs"
"907"	"psinensis_homolog_orthology_type"	"Chinese softshell turtle homology type"	"homologs"
"908"	"psinensis_homolog_perc_id"	"%id. target Chinese softshell turtle gene identical to query gene"	"homologs"
"909"	"psinensis_homolog_perc_id_r1"	"%id. query gene identical to target Chinese softshell turtle gene"	"homologs"
"910"	"psinensis_homolog_goc_score"	"Chinese softshell turtle Gene-order conservation score"	"homologs"
"911"	"psinensis_homolog_wga_coverage"	"Chinese softshell turtle Whole-genome alignment coverage"	"homologs"
"912"	"psinensis_homolog_orthology_confidence"	"Chinese softshell turtle orthology confidence [0 low, 1 high]"	"homologs"
"913"	"atestudineus_homolog_ensembl_gene"	"Climbing perch gene stable ID"	"homologs"
"914"	"atestudineus_homolog_associated_gene_name"	"Climbing perch gene name"	"homologs"
"915"	"atestudineus_homolog_ensembl_peptide"	"Climbing perch protein or transcript stable ID"	"homologs"
"916"	"atestudineus_homolog_chromosome"	"Climbing perch chromosome/scaffold name"	"homologs"
"917"	"atestudineus_homolog_chrom_start"	"Climbing perch chromosome/scaffold start (bp)"	"homologs"
"918"	"atestudineus_homolog_chrom_end"	"Climbing perch chromosome/scaffold end (bp)"	"homologs"
"919"	"atestudineus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"920"	"atestudineus_homolog_subtype"	"Last common ancestor with Climbing perch"	"homologs"
"921"	"atestudineus_homolog_orthology_type"	"Climbing perch homology type"	"homologs"
"922"	"atestudineus_homolog_perc_id"	"%id. target Climbing perch gene identical to query gene"	"homologs"
"923"	"atestudineus_homolog_perc_id_r1"	"%id. query gene identical to target Climbing perch gene"	"homologs"
"924"	"atestudineus_homolog_goc_score"	"Climbing perch Gene-order conservation score"	"homologs"
"925"	"atestudineus_homolog_wga_coverage"	"Climbing perch Whole-genome alignment coverage"	"homologs"
"926"	"atestudineus_homolog_orthology_confidence"	"Climbing perch orthology confidence [0 low, 1 high]"	"homologs"
"927"	"gmorhua_homolog_ensembl_gene"	"Cod gene stable ID"	"homologs"
"928"	"gmorhua_homolog_associated_gene_name"	"Cod gene name"	"homologs"
"929"	"gmorhua_homolog_ensembl_peptide"	"Cod protein or transcript stable ID"	"homologs"
"930"	"gmorhua_homolog_chromosome"	"Cod chromosome/scaffold name"	"homologs"
"931"	"gmorhua_homolog_chrom_start"	"Cod chromosome/scaffold start (bp)"	"homologs"
"932"	"gmorhua_homolog_chrom_end"	"Cod chromosome/scaffold end (bp)"	"homologs"
"933"	"gmorhua_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"934"	"gmorhua_homolog_subtype"	"Last common ancestor with Cod"	"homologs"
"935"	"gmorhua_homolog_orthology_type"	"Cod homology type"	"homologs"
"936"	"gmorhua_homolog_perc_id"	"%id. target Cod gene identical to query gene"	"homologs"
"937"	"gmorhua_homolog_perc_id_r1"	"%id. query gene identical to target Cod gene"	"homologs"
"938"	"gmorhua_homolog_goc_score"	"Cod Gene-order conservation score"	"homologs"
"939"	"gmorhua_homolog_wga_coverage"	"Cod Whole-genome alignment coverage"	"homologs"
"940"	"gmorhua_homolog_orthology_confidence"	"Cod orthology confidence [0 low, 1 high]"	"homologs"
"941"	"lchalumnae_homolog_ensembl_gene"	"Coelacanth gene stable ID"	"homologs"
"942"	"lchalumnae_homolog_associated_gene_name"	"Coelacanth gene name"	"homologs"
"943"	"lchalumnae_homolog_ensembl_peptide"	"Coelacanth protein or transcript stable ID"	"homologs"
"944"	"lchalumnae_homolog_chromosome"	"Coelacanth chromosome/scaffold name"	"homologs"
"945"	"lchalumnae_homolog_chrom_start"	"Coelacanth chromosome/scaffold start (bp)"	"homologs"
"946"	"lchalumnae_homolog_chrom_end"	"Coelacanth chromosome/scaffold end (bp)"	"homologs"
"947"	"lchalumnae_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"948"	"lchalumnae_homolog_subtype"	"Last common ancestor with Coelacanth"	"homologs"
"949"	"lchalumnae_homolog_orthology_type"	"Coelacanth homology type"	"homologs"
"950"	"lchalumnae_homolog_perc_id"	"%id. target Coelacanth gene identical to query gene"	"homologs"
"951"	"lchalumnae_homolog_perc_id_r1"	"%id. query gene identical to target Coelacanth gene"	"homologs"
"952"	"lchalumnae_homolog_goc_score"	"Coelacanth Gene-order conservation score"	"homologs"
"953"	"lchalumnae_homolog_wga_coverage"	"Coelacanth Whole-genome alignment coverage"	"homologs"
"954"	"lchalumnae_homolog_orthology_confidence"	"Coelacanth orthology confidence [0 low, 1 high]"	"homologs"
"955"	"scanaria_homolog_ensembl_gene"	"Common canary gene stable ID"	"homologs"
"956"	"scanaria_homolog_associated_gene_name"	"Common canary gene name"	"homologs"
"957"	"scanaria_homolog_ensembl_peptide"	"Common canary protein or transcript stable ID"	"homologs"
"958"	"scanaria_homolog_chromosome"	"Common canary chromosome/scaffold name"	"homologs"
"959"	"scanaria_homolog_chrom_start"	"Common canary chromosome/scaffold start (bp)"	"homologs"
"960"	"scanaria_homolog_chrom_end"	"Common canary chromosome/scaffold end (bp)"	"homologs"
"961"	"scanaria_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"962"	"scanaria_homolog_subtype"	"Last common ancestor with Common canary"	"homologs"
"963"	"scanaria_homolog_orthology_type"	"Common canary homology type"	"homologs"
"964"	"scanaria_homolog_perc_id"	"%id. target Common canary gene identical to query gene"	"homologs"
"965"	"scanaria_homolog_perc_id_r1"	"%id. query gene identical to target Common canary gene"	"homologs"
